"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Category Navigation: Navigate to Women > Tops > Jackets","3","0","","0"
"0","","1","","0","0","","0"
